features,weight
system.membus.trans_dist::ReadExReq,-4.2515e-01
system.membus.trans_dist::ReadExResp,-4.2515e-01
system.l2.ReadExReq_misses::total,-4.2515e-01
system.l2.ReadExReq_mshr_misses::total,-4.2515e-01
system.cpu.dcache.WriteReq_misses::total,-4.2536e-01
system.tol2bus.trans_dist::ReadExResp,-4.2536e-01
system.l2.ReadExReq_accesses::total,-4.2537e-01
system.tol2bus.trans_dist::ReadExReq,-4.2537e-01
system.cpu.dcache.WriteReq_mshr_misses::total,-4.2537e-01
system.l2.ReadExReq_miss_latency::total,-4.2553e-01
system.cpu.dcache.WriteReq_miss_latency::total,-4.2554e-01
system.cpu.dcache.WriteReq_mshr_miss_latency::total,-4.2556e-01
system.l2.ReadExReq_mshr_miss_latency::total,-4.2557e-01
system.cpu.dcache.WriteReq_avg_miss_latency::total,-4.3178e-01
system.mem_ctrls.wrPerTurnAround::gmean,-4.5689e-01
system.mem_ctrls.wrPerTurnAround::mean,-4.5699e-01
system.mem_ctrls_0.actBackEnergy,-4.6364e-01
system.mem_ctrls_0.memoryStateTime::ACT,-4.6619e-01
system.tol2bus.trans_dist::WritebackDirty,-4.6889e-01
system.mem_ctrls_0.preBackEnergy,-4.7090e-01
system.mem_ctrls_0.memoryStateTime::IDLE,-4.7113e-01
system.mem_ctrls_0.prePowerDownEnergy,-4.8540e-01
system.mem_ctrls_0.memoryStateTime::PRE_PDN,-4.8541e-01
system.cpu.rename.LQFullEvents,-4.9149e-01
system.l2.tags.tagsinuse,-5.1031e-01
system.cpu.dcache.replacements,-5.1361e-01
system.l2.WritebackDirty_hits::total,-5.1900e-01
system.cpu.dcache.writebacks::total,-5.1900e-01
system.l2.WritebackDirty_accesses::total,-5.1900e-01
system.membus.respLayer1.utilization,-5.2583e-01
system.cpu.icache.blocked::no_targets,-5.2697e-01
system.cpu.icache.blocked_cycles::no_targets,-5.2697e-01
system.cpu.icache.avg_blocked_cycles::no_targets,-5.2697e-01
system.l2.tags.occ_percent::total,-5.2933e-01
system.mem_ctrls.bw_read::total,-5.3204e-01
system.mem_ctrls.avgRdBWSys,-5.3289e-01
system.mem_ctrls.busUtilRead,-5.4796e-01
system.mem_ctrls.avgRdBW,-5.4837e-01
system.mem_ctrls.bw_total::total,-5.6019e-01
system.mem_ctrls.busUtil,-5.7369e-01
system.cpu.iew.lsq.thread0.cacheBlocked,-6.0583e-01
system.cpu.iq.fu_busy_rate,-6.9684e-01
system.cpu.rename.UnblockCycles,-6.9842e-01
system.cpu.iew.lsq.thread0.rescheduledLoads,-7.1561e-01
system.cpu.rename.SQFullEvents,-7.1984e-01
system.mem_ctrls.rdPerTurnAround::gmean,-7.3608e-01
system.membus.trans_dist::CleanEvict,-7.5675e-01
system.cpu.ipc,-7.8951e-01
system.cpu.ipc_total,-7.8951e-01
system.mem_ctrls.rdPerTurnAround::mean,-7.9514e-01
system.cpu.commit.op_class_0::IntMult,-8.1771e-01
system.tol2bus.reqLayer0.utilization,-8.4824e-01
system.l2.ReadSharedReq_avg_miss_latency::total,-9.0372e-01
system.l2.ReadSharedReq_avg_mshr_miss_latency::total,-9.0481e-01
system.l2.tags.avg_refs,-9.2215e-01
system.l2.ReadExReq_hits::total,-1.0557e+00
system.l2.ReadExReq_mshr_miss_rate::total,-1.0927e+00
