features,weight
system.cpu.commit.op_class_0::SimdCmp,-8.2110e-01
system.l2.ReadExReq_miss_rate::total,-8.2942e-01
system.l2.ReadExReq_mshr_miss_rate::total,-8.2942e-01
system.mem_ctrls_0.memoryStateTime::REF,-8.4111e-01
system.mem_ctrls_0.refreshEnergy,-8.4113e-01
system.l2.demand_avg_miss_latency::total,-8.4593e-01
system.l2.overall_avg_miss_latency::total,-8.4593e-01
system.l2.demand_avg_mshr_miss_latency::total,-8.5425e-01
system.l2.overall_avg_mshr_miss_latency::total,-8.5425e-01
system.mem_ctrls.busUtil,-8.6630e-01
system.cpu.dcache.WriteReq_hits::total,-8.7775e-01
system.mem_ctrls.wrPerTurnAround::gmean,-8.7886e-01
system.mem_ctrls.wrPerTurnAround::mean,-8.7958e-01
system.cpu.rename.LQFullEvents,-8.8555e-01
system.cpu.dcache.WriteReq_accesses::total,-8.9846e-01
system.mem_ctrls.avgRdBW,-9.0094e-01
system.mem_ctrls.busUtilRead,-9.0251e-01
system.mem_ctrls_0.prePowerDownEnergy,-9.2220e-01
system.mem_ctrls_0.memoryStateTime::PRE_PDN,-9.2224e-01
system.cpu.rename.UnblockCycles,-9.2394e-01
system.cpu.commit.op_class_0::IntDiv,-9.4097e-01
system.mem_ctrls_0.preEnergy,-9.4325e-01
system.mem_ctrls_0.actEnergy,-9.4361e-01
system.mem_ctrls_0.actBackEnergy,-9.4607e-01
system.mem_ctrls_0.memoryStateTime::ACT,-9.5502e-01
system.mem_ctrls_0.readEnergy,-9.7202e-01
system.mem_ctrls_0.memoryStateTime::IDLE,-9.7313e-01
system.cpu.rename.SQFullEvents,-9.7516e-01
system.mem_ctrls.rdPerTurnAround::stdev,-9.7734e-01
system.mem_ctrls_0.preBackEnergy,-9.7900e-01
system.mem_ctrls.wrPerTurnAround::samples,-9.8600e-01
system.mem_ctrls.rdPerTurnAround::samples,-9.8601e-01
system.mem_ctrls.rdPerTurnAround::total,-9.8601e-01
system.mem_ctrls.bytesWritten,-9.8640e-01
system.mem_ctrls.num_writes::total,-9.8646e-01
system.mem_ctrls.bytes_written::total,-9.8646e-01
system.mem_ctrls.writeReqs,-9.8646e-01
system.mem_ctrls.bytesWrittenSys,-9.8646e-01
system.mem_ctrls.writeBursts,-9.8646e-01
system.tol2bus.snoopTraffic,-9.8646e-01
system.membus.trans_dist::WritebackDirty,-9.8648e-01
system.l2.writebacks::total,-9.8648e-01
system.mem_ctrls_0.writeEnergy,-9.8662e-01
system.mem_ctrls.writeRowHits,-9.8763e-01
system.cpu.dcache.WriteReq_miss_latency::total,-9.9458e-01
system.cpu.dcache.WriteReq_mshr_miss_latency::total,-9.9459e-01
system.l2.ReadExReq_mshr_miss_latency::total,-9.9460e-01
system.l2.ReadExReq_miss_latency::total,-9.9468e-01
system.membus.trans_dist::ReadExResp,-9.9527e-01
system.membus.trans_dist::ReadExReq,-9.9527e-01
system.l2.ReadExReq_mshr_misses::total,-9.9527e-01
system.l2.ReadExReq_misses::total,-9.9527e-01
system.cpu.dcache.WriteReq_misses::total,-9.9558e-01
system.tol2bus.trans_dist::ReadExResp,-9.9561e-01
system.cpu.dcache.WriteReq_mshr_misses::total,-9.9561e-01
system.tol2bus.trans_dist::ReadExReq,-9.9561e-01
system.l2.ReadExReq_accesses::total,-9.9561e-01
system.tol2bus.snoops,-9.9742e-01
system.l2.replacements,-9.9743e-01
system.cpu.commit.op_class_0::FloatMemWrite,-1.0140e+00
system.cpu.ipc,-1.0251e+00
system.cpu.ipc_total,-1.0251e+00
system.cpu.fetch.PendingTrapStallCycles,-1.0353e+00
system.tol2bus.trans_dist::WritebackDirty,-1.0381e+00
system.cpu.rename.BlockCycles,-1.0604e+00
system.cpu.fetch.MiscStallCycles,-1.0766e+00
system.cpu.commit.op_class_0::FloatMemRead,-1.0832e+00
system.cpu.iew.iewUnblockCycles,-1.0849e+00
system.cpu.iew.iewLSQFullEvents,-1.0853e+00
system.cpu.dcache.writebacks::total,-1.0874e+00
system.l2.WritebackDirty_accesses::total,-1.0874e+00
system.l2.WritebackDirty_hits::total,-1.0874e+00
system.cpu.commit.op_class_0::FloatDiv,-1.0931e+00
system.cpu.commit.op_class_0::FloatCmp,-1.0931e+00
system.cpu.commit.op_class_0::SimdFloatSqrt,-1.0931e+00
system.cpu.commit.op_class_0::FloatMult,-1.0931e+00
system.cpu.commit.op_class_0::SimdFloatMult,-1.0931e+00
system.cpu.commit.op_class_0::SimdFloatAdd,-1.0931e+00
system.cpu.commit.op_class_0::SimdFloatDiv,-1.0940e+00
system.cpu.commit.op_class_0::SimdFloatCvt,-1.1010e+00
system.cpu.dcache.replacements,-1.1032e+00
system.cpu.itb.wrMisses,-1.1682e+00
system.l2.ReadSharedReq_hits::total,-1.3014e+00
system.l2.demand_hits::total,-1.3022e+00
system.l2.overall_hits::total,-1.3022e+00
system.cpu.rename.ROBFullEvents,-1.3347e+00
system.l2.ReadSharedReq_avg_miss_latency::total,-1.3718e+00
system.l2.ReadSharedReq_avg_mshr_miss_latency::total,-1.3751e+00
system.cpu.iq.fu_busy_rate,-1.5776e+00
system.l2.ReadExReq_hits::total,-1.6255e+00
system.membus.trans_dist::CleanEvict,-2.4548e+00
bias,-4.0000e+00
