features,weight
system.cpu.icache.ReadReq_avg_miss_latency::total,1.7555e-01
system.cpu.icache.demand_avg_miss_latency::total,1.7555e-01
system.cpu.icache.overall_avg_miss_latency::total,1.7555e-01
system.cpu.fetch.MiscStallCycles,1.7444e-01
system.cpu.commit.committed_per_cycle::samples,1.7204e-01
system.cpu.commit.committed_per_cycle::total,1.7204e-01
system.cpu.dtb.rdMisses,1.6992e-01
system.l2.tags.data_accesses,1.6871e-01
system.l2.tags.tag_accesses,1.6871e-01
system.mem_ctrls.avgWrQLen,1.6865e-01
system.cpu.commit.op_class_0::IntAlu,1.6600e-01
system.cpu.fetch.Cycles,1.6445e-01
system.cpu.timesIdled,1.6173e-01
system.cpu.commit.op_class_0::MemWrite,1.6045e-01
system.mem_ctrls_0.totalIdleTime,1.5477e-01
system.cpu.dcache.ReadReq_avg_mshr_miss_latency::total,1.5043e-01
system.cpu.branchPred.indirectLookups,1.4998e-01
system.cpu.branchPred.BTBLookups,1.4998e-01
system.l2.tags.avg_refs,1.4808e-01
system.cpu.dcache.tags.tag_accesses,1.4556e-01
system.cpu.dcache.tags.data_accesses,1.4556e-01
system.cpu.dcache.overall_hits::total,1.4318e-01
system.cpu.dcache.demand_hits::total,1.4318e-01
system.cpu.dcache.tags.total_refs,1.4217e-01
system.mem_ctrls.writeRowHitRate,1.4181e-01
system.mem_ctrls.readRowHitRate,1.3948e-01
system.cpu.decode.BlockedCycles,1.3724e-01
system.cpu.decode.IdleCycles,1.3534e-01
system.cpu.icache.overall_avg_mshr_miss_latency::total,1.3298e-01
system.cpu.icache.demand_avg_mshr_miss_latency::total,1.3298e-01
system.cpu.icache.ReadReq_avg_mshr_miss_latency::total,1.3298e-01
system.cpu.dcache.demand_accesses::total,1.3226e-01
system.cpu.dcache.overall_accesses::total,1.3226e-01
system.cpu.iq.iqSquashedInstsIssued,1.3032e-01
system.l2.ReadCleanReq_miss_rate::total,1.2173e-01
system.l2.ReadCleanReq_mshr_miss_rate::total,1.2145e-01
system.cpu.iq.int_inst_queue_reads,1.1501e-01
system.mem_ctrls.avgGap,1.0820e-01
system.l2.ReadCleanReq_avg_mshr_miss_latency::total,1.0694e-01
system.mem_ctrls.totGap,1.0431e-01
system.tol2bus.trans_dist::UpgradeResp,1.0405e-01
system.l2.UpgradeReq_accesses::total,1.0405e-01
system.l2.UpgradeReq_hits::total,1.0405e-01
system.cpu.rename.int_rename_lookups,1.0176e-01
system.mem_ctrls.bytesPerActivate::stdev,1.0053e-01
system.l2.ReadCleanReq_avg_miss_latency::total,9.5240e-02
system.tol2bus.respLayer0.utilization,9.3434e-02
